total in seconds,datetime(utc),channels,VenusTriggerVenusName_isThreat,VenusTriggerLinkType_Uplink,VenusTrigger_VenusName,VenusTrigger_RadioId,VenusTrigge_LifeStatus,VenusTrigger_Frequency,VenusTrigge_FrequencyBand,VenusTrigger_OnAirStartTime,VenusTrigger_StopTime,VenusTrigger_Azimuth,VenusTrigger_Deviation
1601381457,2020-09-29 12:10:57,,1.0,,DJI OcuSync,281474977710659,active,2466500000.0,ISM 2.4 GHz,1601391914335300.0,1601391960547936.0,50.0,2.0
1601381457,2020-09-29 12:10:57,,1.0,FHSS,DJI Mavic Mini,191,active,2440000000.0,ISM 2.4 GHz,1601370481734079.0,1601391958860532.0,48.5,0.0
1601381458,2020-09-29 12:10:58,,0.0,FHSS,Cheerson Leopard 2,192,active,2440000000.0,ISM 2.4 GHz,1601390540422472.0,1601391959776345.0,330.9,0.0
1601381459,2020-09-29 12:10:59,,1.0,FHSS,DJI Mavic Pro long,197,active,2440000000.0,ISM 2.4 GHz,1601391908790885.0,1601391961271410.0,,
1601381459,2020-09-29 12:10:59,,1.0,FHSS,DJI Mavic Mini,191,active,2440000000.0,ISM 2.4 GHz,1601370481734079.0,1601391960994972.0,55.1,0.0
1601381459,2020-09-29 12:10:59,,1.0,FHSS,DJI Mavic Mini,191,active,2440000000.0,ISM 2.4 GHz,1601370481734079.0,1601391960652507.0,,
1601381459,2020-09-29 12:10:59,,0.0,FHSS,Cheerson Leopard 2,192,active,2440000000.0,ISM 2.4 GHz,1601390540422472.0,1601391961019175.0,55.1,0.0
1601381461,2020-09-29 12:11:01,,1.0,,DJI OcuSync,281474977710659,active,2466500000.0,ISM 2.4 GHz,1601391914335300.0,1601391965154630.0,52.0,2.0
1601381467,2020-09-29 12:11:07,,1.0,,DJI OcuSync,281474977710659,active,2466500000.0,ISM 2.4 GHz,1601391914335300.0,1601391970521874.0,51.0,2.0
1601381471,2020-09-29 12:11:11,,1.0,,DJI OcuSync,281474977710659,active,2466500000.0,ISM 2.4 GHz,1601391914335300.0,1601391975204636.0,51.0,2.0
1601381471,2020-09-29 12:11:11,,0.0,FHSS,,196,active,2440000000.0,ISM 2.4 GHz,1601390898304961.0,1601391972306562.0,329.1,0.0
1601381471,2020-09-29 12:11:11,,0.0,FHSS,Cheerson Leopard 2,192,active,2440000000.0,ISM 2.4 GHz,1601390540422472.0,1601391972507719.0,329.1,0.0
1601381471,2020-09-29 12:11:11,,1.0,FHSS,DJI Mavic Mini,191,active,2440000000.0,ISM 2.4 GHz,1601370481734079.0,1601391972580629.0,329.1,0.0
1601381472,2020-09-29 12:11:12,,0.0,FHSS,,196,active,2440000000.0,ISM 2.4 GHz,1601390898304961.0,1601391973511767.0,,
1601381472,2020-09-29 12:11:12,,0.0,FHSS,Cheerson Leopard 2,192,active,2440000000.0,ISM 2.4 GHz,1601390540422472.0,1601391973502806.0,,
1601381472,2020-09-29 12:11:12,,1.0,FHSS,DJI Mavic Mini,191,active,2440000000.0,ISM 2.4 GHz,1601370481734079.0,1601391973572590.0,,
1601381473,2020-09-29 12:11:13,,1.0,FHSS,DJI Mavic Pro short,199,active,2440000000.0,ISM 2.4 GHz,1601391908794885.0,1601391974495344.0,,
1601381473,2020-09-29 12:11:13,,0.0,FHSS,,198,active,2440000000.0,ISM 2.4 GHz,1601388408376843.0,1601391974458427.0,,
1601381476,2020-09-29 12:11:16,,1.0,,DJI OcuSync,281474977710659,active,2466500000.0,ISM 2.4 GHz,1601391914335300.0,1601391979676147.0,51.0,2.0
1601381481,2020-09-29 12:11:21,,1.0,,DJI OcuSync,281474977710659,active,2466500000.0,ISM 2.4 GHz,1601391914335300.0,1601391984212412.0,52.0,3.0
1601381483,2020-09-29 12:11:23,,1.0,FHSS,DJI Mavic Pro short,199,active,2440000000.0,ISM 2.4 GHz,1601391908794885.0,1601391984215348.0,57.6,0.2
1601381485,2020-09-29 12:11:25,,1.0,,DJI OcuSync,281474977710659,active,2406500000.0,ISM 2.4 GHz,1601391914335300.0,1601391988763971.0,52.0,3.0
1601381486,2020-09-29 12:11:26,,1.0,FHSS,DJI Mavic Pro short,199,active,2440000000.0,ISM 2.4 GHz,1601391908794885.0,1601391988485346.0,,
1601381488,2020-09-29 12:11:28,,1.0,FHSS,DJI Mavic Pro long,197,active,2440000000.0,ISM 2.4 GHz,1601391908790885.0,1601391990251421.0,51.7,2.0
1601381488,2020-09-29 12:11:28,,1.0,FHSS,DJI Mavic Pro short,199,active,2440000000.0,ISM 2.4 GHz,1601391908794885.0,1601391990245350.0,52.4,2.5
1601381489,2020-09-29 12:11:29,,1.0,,DJI OcuSync,281474977710659,active,2456500000.0,ISM 2.4 GHz,1601391914335300.0,1601391993145854.0,56.0,1.0
1601381490,2020-09-29 12:11:30,,1.0,FHSS,Hubsan,200,active,2440000000.0,ISM 2.4 GHz,1601391914062667.0,1601391991929363.0,50.8,0.9
1601381490,2020-09-29 12:11:30,,1.0,FHSS,DJI Mavic Pro short,199,active,2440000000.0,ISM 2.4 GHz,1601391908794885.0,1601391991259930.0,49.9,1.1
1601381490,2020-09-29 12:11:30,,0.0,FHSS,,204,active,2440000000.0,ISM 2.4 GHz,1601391989590923.0,1601391991899363.0,50.7,0.6
1601381490,2020-09-29 12:11:30,,0.0,FHSS,,202,active,2440000000.0,ISM 2.4 GHz,1601391914065595.0,1601391991935360.0,51.0,1.1
1601381490,2020-09-29 12:11:30,,0.0,FHSS,,201,active,2440000000.0,ISM 2.4 GHz,1601391813897627.0,1601391991999362.0,51.1,0.7
1601381490,2020-09-29 12:11:30,,0.0,FHSS,,198,active,2440000000.0,ISM 2.4 GHz,1601388408376843.0,1601391992294384.0,54.9,0.0
1601381490,2020-09-29 12:11:30,,0.0,FHSS,,203,active,2440000000.0,ISM 2.4 GHz,1601391964946692.0,1601391991995362.0,51.4,0.0
1601381491,2020-09-29 12:11:31,,0.0,FHSS,,201,active,2440000000.0,ISM 2.4 GHz,1601391813897627.0,1601391993394703.0,55.5,0.5
1601381491,2020-09-29 12:11:31,,0.0,FHSS,,202,active,2440000000.0,ISM 2.4 GHz,1601391914065595.0,1601391993410701.0,55.1,0.0
1601381491,2020-09-29 12:11:31,,1.0,FHSS,DJI Mavic Pro long,197,active,2440000000.0,ISM 2.4 GHz,1601391908790885.0,1601391992461422.0,,
1601381491,2020-09-29 12:11:31,,1.0,FHSS,DJI Mavic Pro short,199,active,2440000000.0,ISM 2.4 GHz,1601391908794885.0,1601391992445350.0,,
1601381491,2020-09-29 12:11:31,,1.0,FHSS,Hubsan,200,active,2440000000.0,ISM 2.4 GHz,1601391914062667.0,1601391993404704.0,55.4,0.6
