,0
0,18.350098850266953
1,3.815661252541328
2,1.6954799818764346
3,0.9296603342316366
4,0.705320746336113
5,0.5109108773447278
6,0.4408794086512643
7,0.2792301642565888
8,0.35437111775331936
9,0.3339753047748297
10,0.4337677001299265
11,0.37264198100233953
12,0.32409252564109414
13,0.28007522458310036
14,0.17625482027821981
15,0.22975749232679205
16,0.2872294113297334
17,0.19100312716466744
18,0.20884722986423412
19,0.2396322952473629
20,0.2345284573345643
21,0.20892411006303327
22,0.2206719185426978
23,0.17940810935583382
24,0.1782423631629863
25,0.21115861967652097
26,0.23134337304070038
27,0.21317343799166968
28,0.1746709853229952
29,0.12399112415870711
30,0.10502002349313223
31,0.1541962232515394
32,0.1709311360832991
33,0.25068041182532885
34,0.2474937814426085
35,0.20072298379898368
36,0.19203688064344232
37,0.1892691696794289
38,0.13524796327712568
39,0.1244590327969897
40,0.1590001746596173
41,0.18377162735783312
42,0.24969203739689858
43,0.2152920821885352
44,0.1532948705445035
45,0.10133091736662965
46,0.1233475839937803
47,0.15316625467984646
48,0.20003915018043344
49,0.18329433854098032
