total in seconds,datetime(utc),channels,VenusTriggerVenusName_isThreat,VenusTriggerLinkType_Uplink,VenusTrigger_VenusName,VenusTrigger_RadioId,VenusTrigge_LifeStatus,VenusTrigger_Frequency,VenusTrigge_FrequencyBand,VenusTrigger_OnAirStartTime,VenusTrigger_StopTime,VenusTrigger_Azimuth,VenusTrigger_Deviation
1601455126,2020-09-30 08:38:46,,1.0,FHSS,DJI Phantom 4 Pro+ V2.0 / Mavic Pro V2.0 2.4G,36,active,2440000000.0,ISM 2.4 GHz,1601463442979672.0,1601463655706332.0,,
1601455126,2020-09-30 08:38:46,,1.0,,DJI OcuSync,281474977710656,active,2466500000.0,ISM 2.4 GHz,1601463455603024.0,1601463657942080.0,59.0,3.0
1601455126,2020-09-30 08:38:46,,1.0,,DJI OcuSync,281474977710657,active,5750000000.0,ISM 5.8 GHz,1601463488462937.0,1601463658186911.0,54.0,4.0
1601455128,2020-09-30 08:38:48,,0.0,FHSS,,38,active,2440000000.0,ISM 2.4 GHz,1601463455400335.0,1601463658045571.0,60.8,1.7
1601455128,2020-09-30 08:38:48,,0.0,FHSS,,40,active,2440000000.0,ISM 2.4 GHz,1601463219989435.0,1601463658039572.0,60.3,0.5
1601455128,2020-09-30 08:38:48,,0.0,FHSS,,42,active,5795000000.0,ISM 5.8 GHz,1601463519711442.0,1601463658266434.0,51.8,1.3
1601455128,2020-09-30 08:38:48,,0.0,FHSS,,44,active,5795000000.0,ISM 5.8 GHz,1601463524648441.0,1601463658250435.0,52.3,0.6
1601455129,2020-09-30 08:38:49,,0.0,FHSS,,34,active,2440000000.0,ISM 2.4 GHz,1601462886278761.0,1601463658814218.0,29.2,15.0
1601455129,2020-09-30 08:38:49,,1.0,FHSS,DJI Phantom 4 Pro+ V2.0 / Mavic Pro V2.0 2.4G,36,active,2440000000.0,ISM 2.4 GHz,1601463442979672.0,1601463658730333.0,60.6,0.1
1601455131,2020-09-30 08:38:51,,1.0,,DJI OcuSync,281474977710656,active,2466500000.0,ISM 2.4 GHz,1601463455603024.0,1601463662659792.0,62.0,3.0
1601455131,2020-09-30 08:38:51,,1.0,,DJI OcuSync,281474977710657,active,5750000000.0,ISM 5.8 GHz,1601463488462937.0,1601463662829924.0,54.0,4.0
1601455133,2020-09-30 08:38:53,,1.0,FHSS,Hubsan,39,active,2440000000.0,ISM 2.4 GHz,1601463465357415.0,1601463662649576.0,60.3,1.2
1601455133,2020-09-30 08:38:53,,0.0,FHSS,,44,active,5795000000.0,ISM 5.8 GHz,1601463524648441.0,1601463662939434.0,58.3,4.2
1601455133,2020-09-30 08:38:53,,0.0,FHSS,,42,active,5795000000.0,ISM 5.8 GHz,1601463519711442.0,1601463662936435.0,53.2,3.2
