total in seconds,datetime(utc),Diana_time,DianaSensorPosition_latitude_deg,DianaSensorPosition_longitude_deg,DianaSensorPosition_altitude_m,DianaTargets_band,DianaTarget_ID,DianaTargetsTargetSignal_snr_dB,DianaTargetsTargetSignal_bearing_deg,DianaTargetsTargetSignal_range_m,DianaTargetsTargetClassification_type,DianaTargetsTargetClassification_model,DianaTargetsTargetClassification_score,channels
1601455123,2020-09-30 08:38:43,,,,,,0.0,14.967858999999999,97.146886,317.0,controller,Unknown,0.212155,0
1601455123,2020-09-30 08:38:43,,,,,,0.0,14.648048000000001,97.146886,329.0,controller,Unknown,0.27034600000000003,0
1601455123,2020-09-30 08:38:43,738064.4,51.519137,5.857951,31.0,1.0,0.0,15.315884,97.146886,305.0,controller,Unknown,0.19819,0
1601455126,2020-09-30 08:38:46,738064.4,51.519137,5.857951,31.0,2.0,0.0,10.213391,21.694284,549.0,controller,Unknown,0.282527,1
1601455126,2020-09-30 08:38:46,,,,,,0.0,10.147625999999999,21.694284,553.0,controller,Unknown,0.284246,1
1601455126,2020-09-30 08:38:46,,,,,,0.0,9.394741999999999,21.694284,603.0,controller,Unknown,0.2,1
1601455129,2020-09-30 08:38:49,738064.4,51.519137,5.857951,31.0,3.0,16001.0,29.204629999999998,27.849465999999996,61.0,aircraft,DJI-Phantom-4F,0.6,2
1601455129,2020-09-30 08:38:49,,,,,,0.0,18.135279999999998,27.849465999999996,220.0,controller,Unknown,0.266667,2
1601455129,2020-09-30 08:38:49,,,,,,0.0,9.878533000000001,27.849465999999996,570.0,controller,Unknown,0.27034600000000003,2
1601455132,2020-09-30 08:38:52,738064.4,51.519137,5.857951,31.0,1.0,0.0,14.782635999999998,98.58063100000001,324.0,controller,Unknown,0.27034600000000003,0
1601455132,2020-09-30 08:38:52,,,,,,0.0,13.628988,98.58063100000001,370.0,controller,Unknown,0.222104,0
1601455148,2020-09-30 08:39:08,,,,,,0.0,6.73682,45.699081,819.0,controller,Unknown,0.20306300000000002,0
1601455148,2020-09-30 08:39:08,,,,,,0.0,13.715487,45.699081,367.0,controller,Unknown,0.396171,0
1601455148,2020-09-30 08:39:08,738064.4,51.519137,5.857951,31.0,1.0,1001.0,16.221166,45.699081,275.0,aircraft,DJI-MAVIC-2-PRO,0.6,0
1601455150,2020-09-30 08:39:10,738064.4,51.519137,5.857951,31.0,2.0,1000.0,15.692760999999999,92.434341,292.0,controller,DJI-MAVIC-2-PRO,0.766667,1
1601455150,2020-09-30 08:39:10,,,,,,0.0,14.706517000000002,92.434341,327.0,controller,Unknown,0.166667,1
1601455150,2020-09-30 08:39:10,,,,,,16000.0,13.960970999999999,92.434341,356.0,controller,DJI-Phantom-4F,0.466667,1
1601455153,2020-09-30 08:39:13,738064.4,51.519137,5.857951,31.0,3.0,1001.0,15.431320999999999,44.015357,301.0,aircraft,DJI-MAVIC-2-PRO,0.5,2
1601455153,2020-09-30 08:39:13,,,,,,0.0,15.685232999999998,44.015357,292.0,controller,Unknown,0.207304,2
1601455153,2020-09-30 08:39:13,,,,,,0.0,9.141133,44.015357,621.0,controller,Unknown,0.198234,2
1601455156,2020-09-30 08:39:16,738064.4,51.519137,5.857951,31.0,1.0,1000.0,26.902343,93.633927,80.0,controller,DJI-MAVIC-2-PRO,0.766667,0
1601455156,2020-09-30 08:39:16,,,,,,1000.0,25.897924,93.633927,90.0,controller,DJI-MAVIC-2-PRO,0.465138,0
1601455156,2020-09-30 08:39:16,,,,,,1000.0,24.625588,93.633927,104.0,controller,DJI-MAVIC-2-PRO,0.4647439999999999,0
1601455159,2020-09-30 08:39:19,738064.4,51.519137,5.857951,31.0,2.0,0.0,20.994486,90.808356,158.0,controller,Unknown,0.263954,1
1601455159,2020-09-30 08:39:19,,,,,,0.0,20.256126000000002,90.808356,172.0,controller,Unknown,0.3823760000000001,1
1601455159,2020-09-30 08:39:19,,,,,,0.0,13.608424,90.808356,371.0,controller,Unknown,0.16446,1
1601455161,2020-09-30 08:39:21,738064.4,51.519137,5.857951,31.0,3.0,0.0,15.425548999999998,81.989079,301.0,controller,Unknown,0.266667,2
1601455161,2020-09-30 08:39:21,,,,,,1001.0,10.364083,81.989079,539.0,aircraft,DJI-MAVIC-2-PRO,0.566667,2
1601455165,2020-09-30 08:39:25,,,,,,0.0,16.095944,95.479384,279.0,controller,Unknown,0.258058,0
1601455165,2020-09-30 08:39:25,738064.4,51.519137,5.857951,31.0,1.0,16000.0,17.812333,95.479384,229.0,controller,DJI-Phantom-4F,0.533333,0
1601455165,2020-09-30 08:39:25,,,,,,0.0,15.984369000000001,95.479384,282.0,controller,Unknown,0.3314,0
1601455168,2020-09-30 08:39:28,,,,,,0.0,15.081052,93.2854,313.0,controller,Unknown,0.297821,1
1601455168,2020-09-30 08:39:28,738064.4,51.519137,5.857951,31.0,2.0,1000.0,17.518388,93.2854,236.0,controller,DJI-MAVIC-2-PRO,0.466667,1
1601455168,2020-09-30 08:39:28,,,,,,0.0,14.772229000000001,93.2854,325.0,controller,Unknown,0.245943,1
1601455171,2020-09-30 08:39:31,,,,,,1000.0,11.384282,79.473588,480.0,controller,DJI-MAVIC-2-PRO,0.833333,2
1601455171,2020-09-30 08:39:31,738064.4,51.519137,5.857951,31.0,3.0,0.0,12.277133000000001,79.473588,433.0,controller,Unknown,0.25405300000000003,2
1601455174,2020-09-30 08:39:34,,,,,,16000.0,19.283087,96.693671,193.0,controller,DJI-Phantom-4F,0.466667,0
1601455174,2020-09-30 08:39:34,,,,,,0.0,18.839637,96.693671,203.0,controller,Unknown,0.3,0
1601455174,2020-09-30 08:39:34,738064.4,51.519137,5.857951,31.0,1.0,1000.0,20.712357,96.693671,164.0,controller,DJI-MAVIC-2-PRO,0.466667,0
1601455176,2020-09-30 08:39:36,738064.4,51.519137,5.857951,31.0,2.0,0.0,16.352945000000002,90.234938,270.0,controller,Unknown,0.245348,1
1601455176,2020-09-30 08:39:36,,,,,,0.0,11.09857,90.234938,496.0,controller,Unknown,0.43333299999999997,1
1601455180,2020-09-30 08:39:40,738064.4,51.519137,5.857951,31.0,3.0,0.0,8.198411,20.502620999999998,692.0,controller,Unknown,0.3,2
1601455180,2020-09-30 08:39:40,,,,,,0.0,13.359193,20.502620999999998,382.0,controller,Unknown,0.268124,2
1601455180,2020-09-30 08:39:40,,,,,,0.0,13.060119,20.502620999999998,395.0,controller,Unknown,0.24609,2
1601455183,2020-09-30 08:39:43,738064.4,51.519137,5.857951,31.0,1.0,0.0,18.089,95.594249,221.0,controller,Unknown,0.23333299999999998,0
1601455183,2020-09-30 08:39:43,,,,,,0.0,17.234917000000006,95.594249,244.0,controller,Unknown,0.324783,0
1601455183,2020-09-30 08:39:43,,,,,,0.0,17.034955,95.594249,250.0,controller,Unknown,0.328763,0
1601455185,2020-09-30 08:39:45,738064.4,51.519137,5.857951,31.0,2.0,0.0,7.446105,89.166013,755.0,controller,Unknown,0.20588800000000002,1
1601455189,2020-09-30 08:39:49,738064.4,51.519137,5.857951,31.0,3.0,0.0,14.399766,28.956273,339.0,controller,Unknown,0.333333,2
