latitude,longitude,altitude(m),ultrasonicHeight(m),speed(mps),distance(m),max_altitude(m),max_ascent(m),max_speed(mps),max_distance(m),time(millisecond),datetime(utc),datetime(local),satellites,pressure(Pa),temperature(F),voltage(v),home_latitude,home_longitude,velocityX(mps),velocityY(mps),velocityZ(mps),pitch(deg),roll(deg),yaw(deg),powerlevel,isflying,istakingphoto,remainPowerPercent,remainLifePercent,currentCurrent,currentElectricity,currentVoltage,batteryTemperature,dischargeCount,flightmode,isMotorsOn,isTakingVideo,Rc_elevator,Rc_aileron,Rc_throttle,Rc_rudder,Rc_gyro,timestamp,Battery_Cell1,Battery_Cell2,Battery_Cell3,Battery_Cell4,Battery_Cell5,Battery_Cell6,Dronetype,AppVersion,Planename,FlyControllerSerialNumber,RemoteSerialNumber,BatterySerialNumber,CENTER_BATTERY.productDate,CENTER_BATTERY.serialNo,CENTER_BATTERY.fullCapacity,CENTER_BATTERY.productDateRaw,pitchRaw,rollRaw,yawRaw,gimbalPitchRaw,gimbalRollRaw,gimbalYawRaw,flyState,altitudeRaw,speedRaw,distanceRaw,velocityXRaw,velocityYRaw,velocityZRaw,data_reuse,App_Tip,App_Warning,downlinkSignalQuality,uplinkSignalQuality,transmissionChannel,rcModeSwitch,rcHome,rcPause,rcTransform,rcJoystickMode,appMode,FlyControllerSerialNumber_legacy,RemoteSerialNumber_legacy,BatterySerialNumber_legacy,Battery2SerialNumber,frontAvoidDist,backAvoidDist,isBrakingToAvoid
51.519333,5.857853,1.60,1.80,3.90,0.32,1.60,1.60,3.90,0.32,0,2020-09-29 13:55:18.607,2020-09-29 15:55:18.608,12,0,0,16.666,51.519331,5.857850,0.00,0.00,-3.90,1.00,-2.70,-19.40,0,1,0,99,97,-2206,5603,16666,2941.50,35,GPS,1,0,0,0,660,0,0,1601387718607,0,0,0,0,0,0,23,Litchi_iOS_2.8.0,kcdgc-P4 Professional V2.0,11VKF7U00203L3,0WGUF4F00100N3,0DQAF5N03201UP,,0,5660,0,-10.00,-27.00,-194.00,0.00,0.00,-236.00,6,16.00,39.00,3.21,0.00,0.00,-39.00,0,,,100,100,0,2,0,0,0,0,0,(null),(null),(null),(null),9.6,4.4,0
51.519333,5.857853,1.90,2.20,4.20,0.33,1.90,1.90,4.20,0.33,117,2020-09-29 13:55:18.725,2020-09-29 15:55:18.725,12,0,0,16.666,51.519331,5.857850,0.00,0.00,-4.20,1.40,-2.40,-18.80,0,1,0,99,97,-2206,5603,16666,2941.50,35,GPS,1,0,0,0,660,0,0,1601387718724,0,0,0,0,0,0,23,,,,,,,0,0,0,-14.00,-24.00,-188.00,0.00,0.00,-233.00,6,19.00,42.00,3.32,0.00,0.00,-42.00,0,,,100,100,0,2,0,0,0,0,0,,,,,9.6,4.4,0
51.519333,5.857853,2.30,2.60,4.50,0.31,2.30,2.30,4.50,0.33,197,2020-09-29 13:55:18.804,2020-09-29 15:55:18.805,12,0,0,16.218,51.519331,5.857850,0.00,0.00,-4.50,1.30,-1.60,-18.30,0,1,0,99,97,-10000,5603,16218,2941.50,35,GPS,1,0,0,0,660,0,0,1601387718804,0,0,0,0,0,0,23,,,,,,,0,0,0,-13.00,-16.00,-183.00,0.00,0.00,-228.00,6,23.00,45.00,3.13,0.00,0.00,-45.00,0,,,100,100,0,2,0,0,0,0,0,,,,,9.6,4.4,0
51.519333,5.857853,2.80,3.10,4.80,0.32,2.80,2.80,4.80,0.33,316,2020-09-29 13:55:18.924,2020-09-29 15:55:18.924,12,0,0,16.218,51.519331,5.857850,0.00,0.00,-4.80,1.30,-0.90,-17.90,0,1,0,99,97,-10000,5603,16218,2941.50,35,GPS,1,0,0,0,660,0,0,1601387718923,0,0,0,0,0,0,23,,,,,,,0,0,0,-13.00,-9.00,-179.00,0.00,0.00,-224.00,6,28.00,48.00,3.18,0.00,0.00,-48.00,0,,,100,100,0,2,0,0,0,0,0,,,,,10.2,4.4,0
51.519333,5.857854,3.30,3.60,4.90,0.33,3.30,3.30,4.90,0.33,407,2020-09-29 13:55:19.014,2020-09-29 15:55:19.014,12,0,0,16.218,51.519331,5.857850,0.00,0.00,-4.90,1.10,-0.70,-17.50,0,1,0,99,97,-10000,5603,16218,2941.50,35,GPS,1,0,0,0,660,0,0,1601387719014,0,0,0,0,0,0,23,,,,,,,0,0,0,-11.00,-7.00,-175.00,0.00,0.00,-220.00,6,33.00,49.00,3.26,0.00,0.00,-49.00,0,,,100,100,0,2,0,0,0,0,0,,,,,0.0,4.5,0
51.519333,5.857854,3.80,4.10,5.00,0.34,3.80,3.80,5.00,0.34,507,2020-09-29 13:55:19.115,2020-09-29 15:55:19.115,12,0,0,16.218,51.519331,5.857850,0.10,0.00,-5.00,1.00,-1.20,-17.10,0,1,0,99,97,-10000,5603,16218,2941.50,35,GPS,1,0,0,0,660,0,0,1601387719114,0,0,0,0,0,0,23,,,,,,,0,0,0,-10.00,-12.00,-171.00,0.00,0.00,-215.00,6,38.00,50.01,3.40,1.00,0.00,-50.00,0,,,100,100,0,2,0,0,0,0,0,,,,,0.0,4.7,0
51.519333,5.857854,4.40,4.60,5.10,0.35,4.40,4.40,5.10,0.35,614,2020-09-29 13:55:19.222,2020-09-29 15:55:19.222,12,0,0,16.218,51.519331,5.857850,0.10,0.10,-5.10,1.60,-1.90,-16.80,0,1,0,99,97,-10000,5603,16218,2941.50,35,GPS,1,0,0,0,660,0,0,1601387719221,0,0,0,0,0,0,23,,,,,,,0,0,0,-16.00,-19.00,-168.00,0.00,0.00,-211.00,6,44.00,51.02,3.53,1.00,1.00,-51.00,0,,,100,100,0,2,0,0,0,0,0,,,,,0.0,4.8,0
51.519333,5.857855,4.90,5.10,5.10,0.39,4.90,4.90,5.10,0.39,714,2020-09-29 13:55:19.322,2020-09-29 15:55:19.322,12,0,0,16.218,51.519331,5.857850,0.10,0.00,-5.10,2.20,-2.50,-16.50,0,1,0,99,97,-10000,5603,16218,2941.50,35,GPS,1,0,0,0,660,0,0,1601387719321,0,0,0,0,0,0,23,,,,,,,0,0,0,-22.00,-25.00,-165.00,0.00,0.00,-207.00,6,49.00,51.01,3.86,1.00,0.00,-51.00,0,,,100,100,0,2,0,0,0,0,0,,,,,0.0,5.3,0
51.519333,5.857855,5.40,5.60,5.10,0.42,5.40,5.40,5.10,0.42,817,2020-09-29 13:55:19.424,2020-09-29 15:55:19.424,12,0,0,16.218,51.519331,5.857850,0.10,0.10,-5.10,2.50,-2.70,-16.40,0,1,0,99,97,-10000,5603,16218,2941.50,35,GPS,1,0,0,0,660,0,0,1601387719424,0,0,0,0,0,0,23,,,,,,,0,0,0,-25.00,-27.00,-164.00,0.00,0.00,-203.00,6,54.00,51.02,4.19,1.00,1.00,-51.00,0,,,100,100,0,2,0,0,0,0,0,,,,,0.0,7.0,0
51.519333,5.857856,5.90,6.10,5.10,0.45,5.90,5.90,5.10,0.45,916,2020-09-29 13:55:19.524,2020-09-29 15:55:19.524,12,0,0,16.218,51.519331,5.857850,0.10,0.10,-5.10,2.40,-2.90,-16.40,0,1,0,99,97,-10000,5603,16218,2941.50,35,GPS,1,0,0,0,660,0,0,1601387719523,0,0,0,0,0,0,23,,,,,,,0,0,0,-24.00,-29.00,-164.00,0.00,0.00,-203.00,6,59.00,51.02,4.53,1.00,1.00,-51.00,0,,,100,100,0,2,0,0,0,0,0,,,,,0.0,9.8,0
51.519333,5.857856,6.50,6.70,5.10,0.49,6.50,6.50,5.10,0.49,1005,2020-09-29 13:55:19.613,2020-09-29 15:55:19.613,12,0,0,16.218,51.519331,5.857850,0.10,0.10,-5.10,2.40,-3.30,-16.40,0,1,0,99,97,-10000,5603,16218,2941.50,35,GPS,1,0,0,0,660,0,0,1601387719612,0,0,0,0,0,0,23,,,,,,,0,0,0,-24.00,-33.00,-164.00,0.00,0.00,-199.00,6,65.00,51.02,4.86,1.00,1.00,-51.00,0,,,100,100,0,2,0,0,0,0,0,,,,,0.0,10.7,0
51.519333,5.857857,7.00,7.20,5.00,0.53,7.00,7.00,5.10,0.53,1119,2020-09-29 13:55:19.727,2020-09-29 15:55:19.727,12,0,0,16.218,51.519331,5.857850,0.00,0.10,-5.00,2.40,-3.40,-16.40,0,1,0,99,97,-10000,5603,16218,2941.50,35,GPS,1,0,0,0,660,0,0,1601387719726,0,0,0,0,0,0,23,,,,,,,0,0,0,-24.00,-34.00,-164.00,0.00,0.00,-196.00,6,70.00,50.01,5.26,0.00,1.00,-50.00,0,,,100,100,0,2,0,0,0,0,0,,,,,0.0,12.2,0
51.519333,5.857857,7.50,7.70,5.00,0.56,7.50,7.50,5.10,0.56,1200,2020-09-29 13:55:19.807,2020-09-29 15:55:19.807,12,0,0,15.849,51.519331,5.857850,0.00,0.10,-5.00,2.70,-3.40,-16.50,0,1,0,99,97,-21176,5603,15849,2941.50,35,GPS,1,0,0,0,660,0,0,1601387719807,0,0,0,0,0,0,23,,,,,,,0,0,0,-27.00,-34.00,-165.00,0.00,0.00,-193.00,6,75.00,50.01,5.61,0.00,1.00,-50.00,0,,,100,100,0,2,0,0,0,0,0,,,,,0.0,14.2,0
51.519333,5.857858,8.00,8.20,5.00,0.59,8.00,8.00,5.10,0.59,1317,2020-09-29 13:55:19.924,2020-09-29 15:55:19.924,12,0,0,15.849,51.519331,5.857850,0.00,0.20,-5.00,2.30,-3.60,-16.50,0,1,0,99,97,-21176,5603,15849,2941.50,35,GPS,1,0,0,0,660,0,0,1601387719924,0,0,0,0,0,0,23,,,,,,,0,0,0,-23.00,-36.00,-165.00,0.00,0.00,-191.00,6,80.00,50.04,5.89,0.00,2.00,-50.00,0,,,100,100,0,2,0,0,0,0,0,,,,,0.0,0.0,0
51.519333,5.857858,8.50,8.70,5.00,0.61,8.50,8.50,5.10,0.61,1408,2020-09-29 13:55:20.015,2020-09-29 15:55:20.015,12,0,0,15.849,51.519331,5.857850,0.00,0.20,-5.00,1.70,-3.90,-16.50,0,1,0,99,97,-21176,5603,15849,2941.50,35,GPS,1,0,0,0,660,0,0,1601387720015,0,0,0,0,0,0,23,,,,,,,0,0,0,-17.00,-39.00,-165.00,0.00,0.00,-189.00,6,85.00,50.04,6.14,0.00,2.00,-50.00,0,,,100,100,0,2,0,0,0,0,0,,,,,0.0,0.0,0
51.519333,5.857859,8.90,9.20,4.90,0.64,8.90,8.90,5.10,0.64,1507,2020-09-29 13:55:20.115,2020-09-29 15:55:20.115,12,0,0,15.849,51.519331,5.857850,0.00,0.20,-4.90,0.60,-4.20,-16.50,0,1,0,99,97,-21176,5603,15849,2941.50,35,GPS,1,0,0,0,660,0,0,1601387720114,0,0,0,0,0,0,23,,,,,,,0,0,0,-6.00,-42.00,-165.00,0.00,0.00,-188.00,6,89.00,49.04,6.45,0.00,2.00,-49.00,0,,,100,100,0,2,0,0,0,0,0,,,,,0.0,0.0,0
51.519333,5.857859,9.40,9.70,4.90,0.67,9.40,9.40,5.10,0.67,1603,2020-09-29 13:55:20.211,2020-09-29 15:55:20.211,12,0,0,15.849,51.519331,5.857850,0.00,0.10,-4.90,0.30,-4.50,-16.50,0,1,0,99,97,-21176,5603,15849,2941.50,35,GPS,1,0,0,0,660,0,0,1601387720210,0,0,0,0,0,0,23,,,,,,,0,0,0,-3.00,-45.00,-165.00,0.00,0.00,-187.00,6,94.00,49.01,6.67,0.00,1.00,-49.00,0,,,100,100,0,2,0,0,0,0,0,,,,,0.0,0.0,0
51.519333,5.857860,9.90,10.10,4.90,0.69,9.90,9.90,5.10,0.69,1704,2020-09-29 13:55:20.311,2020-09-29 15:55:20.311,12,0,0,15.849,51.519331,5.857850,0.00,0.10,-4.90,0.50,-4.60,-16.50,0,1,0,99,97,-21176,5603,15849,2941.50,35,GPS,1,0,0,0,660,0,0,1601387720311,0,0,0,0,0,0,23,,,,,,,0,0,0,-5.00,-46.00,-165.00,0.00,0.00,-185.00,6,99.00,49.01,6.86,0.00,1.00,-49.00,0,,,100,100,0,2,0,0,0,0,0,,,,,0.0,0.0,0
51.519333,5.857860,10.40,10.60,4.90,0.70,10.40,10.40,5.10,0.70,1800,2020-09-29 13:55:20.407,2020-09-29 15:55:20.407,12,0,0,15.849,51.519331,5.857850,0.00,0.10,-4.90,0.60,-4.40,-16.50,0,1,0,99,97,-21176,5603,15849,2941.50,35,GPS,1,0,0,0,660,0,0,1601387720407,0,0,0,0,0,0,23,,,,,,,0,0,0,-6.00,-44.00,-165.00,0.00,0.00,-184.00,6,104.00,49.01,7.01,0.00,1.00,-49.00,0,,,100,100,0,2,0,0,0,0,0,,,,,0.0,0.0,0
51.519333,5.857860,10.80,11.10,4.80,0.72,10.80,10.80,5.10,0.72,1906,2020-09-29 13:55:20.514,2020-09-29 15:55:20.514,12,0,0,15.849,51.519331,5.857850,0.00,0.00,-4.80,0.90,-4.20,-16.50,0,1,0,99,97,-21176,5603,15849,2941.50,35,GPS,1,0,0,0,519,0,0,1601387720513,0,0,0,0,0,0,23,,,,,,,0,0,0,-9.00,-42.00,-165.00,0.00,0.00,-183.00,6,108.00,48.00,7.17,0.00,0.00,-48.00,0,,,100,100,0,2,0,0,0,0,0,,,,,0.0,0.0,0
51.519333,5.857860,11.30,11.60,4.80,0.73,11.30,11.30,5.10,0.73,2003,2020-09-29 13:55:20.611,2020-09-29 15:55:20.611,12,0,0,15.849,51.519331,5.857850,0.00,0.00,-4.80,1.70,-4.00,-16.60,0,1,0,99,97,-21176,5603,15849,2941.50,35,GPS,1,0,0,0,0,0,0,1601387720610,0,0,0,0,0,0,23,,,,,,,0,0,0,-17.00,-40.00,-166.00,0.00,0.00,-182.00,6,113.00,48.00,7.26,0.00,0.00,-48.00,0,,,100,100,0,2,0,0,0,0,0,,,,,0.0,0.0,0
51.519333,5.857860,11.80,12.00,4.40,0.73,11.80,11.80,5.10,0.73,2105,2020-09-29 13:55:20.713,2020-09-29 15:55:20.713,12,0,0,15.849,51.519331,5.857850,0.00,0.00,-4.40,1.60,-4.40,-16.70,0,1,0,99,97,-21176,5603,15849,2941.50,35,GPS,1,0,0,0,0,0,0,1601387720712,0,0,0,0,0,0,23,,,,,,,0,0,0,-16.00,-44.00,-167.00,0.00,0.00,-182.00,6,118.00,44.00,7.29,0.00,0.00,-44.00,0,,,100,100,0,2,0,0,0,0,0,,,,,0.0,0.0,0
51.519333,5.857860,12.20,12.40,3.80,0.73,12.20,12.20,5.10,0.73,2207,2020-09-29 13:55:20.815,2020-09-29 15:55:20.815,12,0,0,15.810,51.519331,5.857850,0.00,0.00,-3.80,1.10,-4.90,-16.80,0,1,0,99,97,-21176,5603,15810,2941.50,35,GPS,1,0,0,0,0,0,0,1601387720814,0,0,0,0,0,0,23,,,,,,,0,0,0,-11.00,-49.00,-168.00,0.00,0.00,-181.00,6,122.00,38.00,7.33,0.00,0.00,-38.00,0,,,100,100,0,2,0,0,0,0,0,,,,,0.0,0.0,0
51.519333,5.857860,12.50,12.80,3.10,0.74,12.50,12.50,5.10,0.74,2304,2020-09-29 13:55:20.911,2020-09-29 15:55:20.912,12,0,0,15.810,51.519331,5.857850,0.00,0.10,-3.10,0.80,-5.30,-16.90,0,1,0,99,97,-21176,5603,15810,2941.50,35,GPS,1,0,0,0,0,0,0,1601387720911,0,0,0,0,0,0,23,,,,,,,0,0,0,-8.00,-53.00,-169.00,0.00,0.00,-181.00,6,125.00,31.02,7.36,0.00,1.00,-31.00,0,,,100,100,0,2,0,0,0,0,0,,,,,0.0,0.0,0
51.519333,5.857861,12.80,13.10,2.50,0.75,12.80,12.80,5.10,0.75,2408,2020-09-29 13:55:21.015,2020-09-29 15:55:21.015,12,0,0,15.810,51.519331,5.857850,0.00,0.10,-2.50,0.20,-5.70,-16.90,0,1,0,99,97,-21176,5603,15810,2941.50,35,GPS,1,0,0,0,0,0,0,1601387721015,0,0,0,0,0,0,23,,,,,,,0,0,0,-2.00,-57.00,-169.00,0.00,0.00,-180.00,6,128.00,25.02,7.46,0.00,1.00,-25.00,0,,,100,100,0,2,0,0,0,0,0,,,,,0.0,0.0,0
51.519333,5.857861,13.00,13.30,1.70,0.76,13.00,13.00,5.10,0.76,2508,2020-09-29 13:55:21.115,2020-09-29 15:55:21.115,12,0,0,15.810,51.519331,5.857850,0.00,0.00,-1.70,-0.10,-5.90,-16.90,0,1,0,99,97,-21176,5603,15810,2941.50,35,GPS,1,0,0,0,0,0,0,1601387721115,0,0,0,0,0,0,23,,,,,,,0,0,0,1.00,-59.00,-169.00,0.00,0.00,-180.00,6,130.00,17.00,7.59,0.00,0.00,-17.00,0,,,100,100,0,2,0,0,0,0,0,,,,,0.0,0.0,0
51.519333,5.857861,13.20,13.40,1.10,0.77,13.20,13.20,5.10,0.77,2600,2020-09-29 13:55:21.208,2020-09-29 15:55:21.208,12,0,0,15.810,51.519331,5.857850,0.00,0.10,-1.10,0.20,-5.90,-16.90,0,1,0,99,97,-21176,5603,15810,2941.50,35,GPS,1,0,0,0,0,0,0,1601387721207,0,0,0,0,0,0,23,,,,,,,0,0,0,-2.00,-59.00,-169.00,0.00,0.00,-180.00,6,132.00,11.05,7.71,0.00,1.00,-11.00,0,,,100,100,0,2,0,0,0,0,0,,,,,0.0,0.0,0
