total in seconds,datetime(utc),channels,VenusTriggerVenusName_isThreat,VenusTriggerLinkType_Uplink,VenusTrigger_VenusName,VenusTrigger_RadioId,VenusTrigge_LifeStatus,VenusTrigger_Frequency,VenusTrigge_FrequencyBand,VenusTrigger_OnAirStartTime,VenusTrigger_StopTime,VenusTrigger_Azimuth,VenusTrigger_Deviation
1601387030,2020-09-29 13:43:50,,1.0,FHSS,"DJI Mavic Mini, MJX R/C Technic",346,active,2440000000.0,ISM 2.4 GHz,1601370481734079.0,1601397532272368.0,144.8,0.7
1601387030,2020-09-29 13:43:50,,1.0,FHSS,"DJI Mavic Mini, MJX R/C Technic",346,active,2440000000.0,ISM 2.4 GHz,1601370481734079.0,1601397532529856.0,,
1601387033,2020-09-29 13:43:53,,1.0,,DJI OcuSync,281474977710673,active,2406500000.0,ISM 2.4 GHz,1601397084690702.0,1601397537059846.0,62.0,2.0
1601387035,2020-09-29 13:43:55,,1.0,FHSS,"DJI Mavic Mini, MJX R/C Technic",346,active,2440000000.0,ISM 2.4 GHz,1601370481734079.0,1601397537097015.0,152.7,0.0
1601387036,2020-09-29 13:43:56,,1.0,FHSS,Hubsan,348,active,2440000000.0,ISM 2.4 GHz,1601395367313144.0,1601397537092582.0,62.6,0.2
1601387036,2020-09-29 13:43:56,,0.0,FHSS,,350,active,2440000000.0,ISM 2.4 GHz,1601395362452139.0,1601397537112581.0,62.6,0.3
1601387038,2020-09-29 13:43:58,,1.0,,DJI OcuSync,281474977710673,active,2406500000.0,ISM 2.4 GHz,1601397084690702.0,1601397541922187.0,62.0,2.0
1601387040,2020-09-29 13:44:00,,0.0,FHSS,,350,active,2440000000.0,ISM 2.4 GHz,1601395362452139.0,1601397541952583.0,63.6,0.4
1601387040,2020-09-29 13:44:00,,0.0,FHSS,,352,active,2440000000.0,ISM 2.4 GHz,1601396356038447.0,1601397541941583.0,63.6,0.3
1601387040,2020-09-29 13:44:00,,1.0,FHSS,"DJI Mavic Mini, MJX R/C Technic",346,active,2440000000.0,ISM 2.4 GHz,1601370481734079.0,1601397541933794.0,,
