total in seconds,datetime(utc),channels,AlviraPotentialDronePlots_timestamp,AlviraPotentialDronPlot_id,AlviraPotentialDronPlot_rcs,AlviraPotentiaDronPlotsPlot_timestamp,AlviraPotentiaDronPlotPlotPosition_altitude,AlviraPotentialDronPlotsPlotPosition_latitude,AlviraPotentialDronPlotsPlotPosition_longitude,AlviraTracks_timestamp,AlviraTracksTrack_id,AlviraTracksTrack_Timestamp,AlviraTracksTrackPosition_Latitude,AlviraTracksTrackPosition_Longitude,AlviraTracksTrackPosition_Altitude,AlviraTracksTrackVelocity_Azimuth,AlviraTracksTrackVelocity_Elevation,AlviraTracksTrackVelocity_Speed,AlviraTracksTrack_Classification,AlviraTracksTrack_Reflection,AlviraTracksTrack_Score,AlviraTracksTrack_Alarm,AlviraSystemStatus_timestamp,AlviraSystemStatus_Name,AlviraSystemStatus_Version,AlviraSystemStatus_OperationalState,AlviraSystemStatusSensor_Name,AlviraSystemStatusSensor_Version,AlviraSystemStatusSensor_OperationalState,AlviraSystemStatusSensorPosition_Latitude,AlviraSystemStatusSensorPosition_Longitude,AlviraSystemStatusSensorPosition_Altitude,AlviraSystemStatusSensorStatusOrientetation_Azimuth,AlviraSystemStatusSensorStatusOrientetation_Elevation,AlviraSystemStatusSensorStatus_SensorType,AlviraSystemStatusSensorStatusBlankSector_Angle,AlviraSystemStatusSensorStatusBlankSector_Span,AlviraSystemStatusSensorStatusProcessing_Sensitivity,SystemStatusSensorStatus_Messages
1601385496,2020-09-29 13:18:16,,,,,,,,,2020-09-29T13:18:16.432Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601385497,2020-09-29 13:18:17,,,,,,,,,2020-09-29T13:18:17.741Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601385498,2020-09-29 13:18:18,,,,,,,,,2020-09-29T13:18:19.045Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601385500,2020-09-29 13:18:20,,,,,,,,,2020-09-29T13:18:20.348Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601385501,2020-09-29 13:18:21,,,,,,,,,2020-09-29T13:18:21.655Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601385502,2020-09-29 13:18:22,,,,,,,,,2020-09-29T13:18:22.953Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601385504,2020-09-29 13:18:24,,,,,,,,,2020-09-29T13:18:24.259Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601385505,2020-09-29 13:18:25,,,,,,,,,2020-09-29T13:18:25.566Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601385506,2020-09-29 13:18:26,,,,,,,,,2020-09-29T13:18:26.867Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601385507,2020-09-29 13:18:27,,,,,,,,,2020-09-29T13:18:28.175Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601385509,2020-09-29 13:18:29,,,,,,,,,2020-09-29T13:18:29.474Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601385510,2020-09-29 13:18:30,,,,,,,,,2020-09-29T13:18:30.783Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601385511,2020-09-29 13:18:31,,,,,,,,,2020-09-29T13:18:32.087Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601385513,2020-09-29 13:18:33,,,,,,,,,2020-09-29T13:18:33.387Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601385514,2020-09-29 13:18:34,,,,,,,,,2020-09-29T13:18:34.696Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601385515,2020-09-29 13:18:35,,,,,,,,,2020-09-29T13:18:36.001Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601385517,2020-09-29 13:18:37,,,,,,,,,2020-09-29T13:18:37.300Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601385518,2020-09-29 13:18:38,,,,,,,,,2020-09-29T13:18:38.606Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601385519,2020-09-29 13:18:39,,,,,,,,,2020-09-29T13:18:39.907Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
